protein_id,protein_st19_cis_h2,protein_st19_trans_h2,protein_st19_all_pqtl_h2,protein_st19_polygenic_h2,protein_st19_total_h2,protein_st19_cis_h2_fraction,protein_st19_trans_h2_fraction,protein_hpa_has_match,protein_hpa_rna_tissue_prior,protein_hpa_protein_tissue_prior,protein_hpa_tissue_prior,protein_hpa_is_secreted,protein_hpa_is_membrane
RNASEH2A:O75792:OID31027:v1,0.00589276242290002,0.0110423613931382,0.0169351238160383,0.0544,0.0713351238160383,0.0826067455647305,0.154795573378617,1.0,0.5025,0.865,0.865,0.0,0.0
PSRC1:Q6PGN9:OID21169:v1,0.0221159923466789,0.00638586651090999,0.0285018588575889,0.0428,0.0713018588575889,0.310174134321675,0.089561010234873,1.0,0.6494087081103918,0.9325,0.9325,0.0,0.0
CHAC2:Q8WUX2:OID21230:v1,0.0197826674378474,0.0,0.0197826674378474,0.0514,0.0711826674378474,0.277914106760898,0.0,1.0,0.5525,0.9325,0.9325,0.0,0.0
RAB2B:Q8WUD1:OID31362:v1,0.0136430594711043,0.00371134854421957,0.0173544080153238,0.0537,0.0710544080153238,0.192008629051725,0.0522324884251962,1.0,0.5025,0.865,0.865,0.0,0.0
VAMP5:O95183:OID20071:v1,0.00574253726263818,0.00180038528836556,0.00754292255100374,0.0635,0.0710429225510037,0.0808319401347185,0.0253422188124794,1.0,0.5025,0.5525,0.5525,0.0,1.0
FKBPL:Q9UIM3:OID31499:v1,0.00577822623805288,0.0015890214446956,0.00736724768274849,0.0636,0.0709672476827485,0.0814210276814429,0.0223909126615584,1.0,0.5025,0.9325,0.9325,0.0,0.0
GRSF1:Q12849:OID31224:v1,0.0,0.00141563800678385,0.00141563800678385,0.0694,0.0708156380067838,0.0,0.0199904716899993,1.0,0.8240293202407332,0.5525,0.8240293202407332,0.0,0.0
RPE:Q96AT9:OID31324:v1,0.00171911316785376,0.0015992840624126,0.00331839723026637,0.0674,0.0707183972302663,0.0243092778567387,0.0226148233705745,1.0,0.5025,0.5025,0.5025,0.0,0.0
RGS10:O43665:OID30999:v1,0.0,0.00290544903566937,0.00290544903566937,0.0678,0.0707054490356693,0.0,0.0410922931018179,1.0,0.8195708157384751,0.865,0.865,0.0,0.0
BAG4:O95429:OID30474:v1,0.0,0.00422288867099833,0.00422288867099833,0.0664,0.0706228886709983,0.0,0.0597949014896708,1.0,0.5025,0.865,0.865,0.0,0.0
